"mode","peel","Year","recruit_male"
"drop_survey",10,1987,1062316.7793542
"drop_survey",10,1988,453767.00908916
"drop_survey",10,1989,550671.65747252
"drop_survey",10,1990,2583994.81573709
"drop_survey",10,1991,3454435.80189513
"drop_survey",10,1992,73851.86163903
"drop_survey",10,1993,74800.17463073
"drop_survey",10,1994,333303.13675798
"drop_survey",10,1995,222822.42011802
"drop_survey",10,1996,213959.93923618
"drop_survey",10,1997,228356.53628053
"drop_survey",10,1998,327285.03462501
"drop_survey",10,1999,268834.55207854
"drop_survey",10,2000,22541.10088361
"drop_survey",10,2001,1103960.13180485
"drop_survey",10,2002,722096.35264155
"drop_survey",10,2003,386226.8229144
"drop_survey",10,2004,802321.76504366
"drop_survey",10,2005,349765.95846215
"drop_survey",10,2006,280005.59543328
"drop_survey",10,2007,776814.84025012
"drop_survey",10,2008,1418349.77737641
"drop_survey",10,2009,1570140.78286768
